% training data for 11-411
@RELATION nlpdata

@ATTRIBUTE length INTEGER
@ATTRIBUTE length-bucket-0 INTEGER
@ATTRIBUTE length-bucket-1 INTEGER
@ATTRIBUTE length-bucket-2 INTEGER
@ATTRIBUTE length-bucket-3 INTEGER
@ATTRIBUTE length-bucket-4 INTEGER
@ATTRIBUTE length-bucket-5 INTEGER
@ATTRIBUTE length-bucket-6 INTEGER
@ATTRIBUTE length-bucket-7 INTEGER
@ATTRIBUTE length-bucket-8 INTEGER
@ATTRIBUTE wh-word INTEGER
@ATTRIBUTE numbers INTEGER
@ATTRIBUTE pronouns INTEGER
@ATTRIBUTE entities INTEGER
@ATTRIBUTE noun-phrases INTEGER
@ATTRIBUTE preceding-clauses INTEGER
@ATTRIBUTE numbers-bucket-0 INTEGER
@ATTRIBUTE numbers-bucket-1 INTEGER
@ATTRIBUTE numbers-bucket-2 INTEGER
@ATTRIBUTE numbers-bucket-3 INTEGER
@ATTRIBUTE numbers-bucket-4 INTEGER
@ATTRIBUTE numbers-bucket-5 INTEGER
@ATTRIBUTE numbers-bucket-6 INTEGER
@ATTRIBUTE numbers-bucket-7 INTEGER
@ATTRIBUTE numbers-bucket-8 INTEGER
@ATTRIBUTE pronouns-bucket-0 INTEGER
@ATTRIBUTE pronouns-bucket-1 INTEGER
@ATTRIBUTE pronouns-bucket-2 INTEGER
@ATTRIBUTE pronouns-bucket-3 INTEGER
@ATTRIBUTE pronouns-bucket-4 INTEGER
@ATTRIBUTE pronouns-bucket-5 INTEGER
@ATTRIBUTE pronouns-bucket-6 INTEGER
@ATTRIBUTE pronouns-bucket-7 INTEGER
@ATTRIBUTE pronouns-bucket-8 INTEGER
@ATTRIBUTE entities-bucket-0 INTEGER
@ATTRIBUTE entities-bucket-1 INTEGER
@ATTRIBUTE entities-bucket-2 INTEGER
@ATTRIBUTE entities-bucket-3 INTEGER
@ATTRIBUTE entities-bucket-4 INTEGER
@ATTRIBUTE entities-bucket-5 INTEGER
@ATTRIBUTE entities-bucket-6 INTEGER
@ATTRIBUTE entities-bucket-7 INTEGER
@ATTRIBUTE entities-bucket-8 INTEGER
@ATTRIBUTE noun-phrases-bucket-0 INTEGER
@ATTRIBUTE noun-phrases-bucket-1 INTEGER
@ATTRIBUTE noun-phrases-bucket-2 INTEGER
@ATTRIBUTE noun-phrases-bucket-3 INTEGER
@ATTRIBUTE noun-phrases-bucket-4 INTEGER
@ATTRIBUTE noun-phrases-bucket-5 INTEGER
@ATTRIBUTE noun-phrases-bucket-6 INTEGER
@ATTRIBUTE noun-phrases-bucket-7 INTEGER
@ATTRIBUTE noun-phrases-bucket-8 INTEGER
@ATTRIBUTE preceding-clauses-bucket-0 INTEGER
@ATTRIBUTE preceding-clauses-bucket-1 INTEGER
@ATTRIBUTE preceding-clauses-bucket-2 INTEGER
@ATTRIBUTE preceding-clauses-bucket-3 INTEGER
@ATTRIBUTE preceding-clauses-bucket-4 INTEGER
@ATTRIBUTE preceding-clauses-bucket-5 INTEGER
@ATTRIBUTE preceding-clauses-bucket-6 INTEGER
@ATTRIBUTE preceding-clauses-bucket-7 INTEGER
@ATTRIBUTE preceding-clauses-bucket-8 INTEGER
@ATTRIBUTE vague_nps INTEGER
@ATTRIBUTE vague_nps-bucket-0 INTEGER
@ATTRIBUTE vague_nps-bucket-1 INTEGER
@ATTRIBUTE vague_nps-bucket-2 INTEGER
@ATTRIBUTE vague_nps-bucket-3 INTEGER
@ATTRIBUTE vague_nps-bucket-4 INTEGER
@ATTRIBUTE vague_nps-bucket-5 INTEGER
@ATTRIBUTE vague_nps-bucket-6 INTEGER
@ATTRIBUTE vague_nps-bucket-7 INTEGER
@ATTRIBUTE vague_nps-bucket-8 INTEGER
@ATTRIBUTE answer-nominalized INTEGER
@ATTRIBUTE answer-in-question INTEGER
@ATTRIBUTE score REAL

@DATA
11,1,1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,15.0
16,1,1,1,1,0,0,0,0,0,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2.0
19,1,1,1,1,0,0,0,0,0,1,0,1,4,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,13.0
19,1,1,1,1,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,12.0
15,1,1,1,0,0,0,0,0,0,1,0,1,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,12.0
27,1,1,1,1,1,1,0,0,0,1,1,2,2,6,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,5.0
18,1,1,1,1,0,0,0,0,0,1,1,1,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
40,1,1,1,1,1,1,1,1,0,0,0,2,4,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0
17,1,1,1,1,0,0,0,0,0,1,0,1,2,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,3.0
13,1,1,1,0,0,0,0,0,0,1,0,1,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
13,1,1,1,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5
9,1,1,0,0,0,0,0,0,0,1,0,1,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
